"id";"produto";"nome_busca";"cluster_sugerido";"subcluster_sugerido";"confianca";"motivo";"confirmado"
"10860";"VF L-CARNITINA - 60 CÁPS.";"L-CARNITINA - 60 CÁPS.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10861";"PC PROTETOR SOLAR FACIAL PRO10 - 14G";"PROTETOR SOLAR FACIAL PRO10 - 14G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10864";"PC PROTETOR SOLAR FACIAL PRO40 - 14G";"PROTETOR SOLAR FACIAL PRO40 - 14G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10867";"FL MEU CHA ENERGIA - 70G";"MEU CHA ENERGIA - 70G";"Vitalidade";"Tônico";65;"classificação automática de baixa confiança";0
"10872";"AP NATUCOLIC - 30ML";"NATUCOLIC - 30ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10879";"FQ ZOOQUANTIC - LAMBEDURA - 50ML";"ZOOQUANTIC - LAMBEDURA - 50ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10882";"LA BEAT - BANANA COM AMENDOIM E CHOCO - 30G";"BANANA COM AMENDOIM E CHOCO - 30G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10887";"TA GIORNO - DIFUSOR DE AMB. FLOR DE LARAN. - 250ML";"GIORNO - DIFUSOR DE AMB. FLOR DE LARAN. - 250ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10889";"WN AROMAGIA - STICKS VANILLA - 200ML";"AROMAGIA - STICKS VANILLA - 200ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10899";"NF WELEDA - CHÁ MISTO DA MAMÃE - 60 SACHÊS";"WELEDA - CHÁ MISTO DA MAMÃE - 60 SACHÊS";"Vitalidade";"Tônico";65;"classificação automática de baixa confiança";0
"10906";"PY OLEO ESSENCIAL - ERVA BALEEIRA - 5ML";"OLEO ESSENCIAL - ERVA BALEEIRA - 5ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
